"feature_name","count_type","description"
"m_X401.1","number of distinct months the feature was observed","PheCode401.1"
"m_X401.2","number of distinct months the feature was observed","PheCode401.2"
"m_X426.7","number of distinct months the feature was observed","PheCode426.7"
"m_X427.3","number of distinct months the feature was observed","PheCode427.3"
"m_X427.6","number of distinct months the feature was observed","PheCode427.6"
"m_X442","number of distinct months the feature was observed","PheCode442"
"m_X443","number of distinct months the feature was observed","PheCode443"
"m_X455","number of distinct months the feature was observed","PheCode455"
"m_X458","number of distinct months the feature was observed","PheCode458"
"m_X459","number of distinct months the feature was observed","PheCode459"
"m_X464","number of distinct months the feature was observed","PheCode464"
"m_X475","number of distinct months the feature was observed","PheCode475"
"m_X479","number of distinct months the feature was observed","PheCode479"
"m_X480.2","number of distinct months the feature was observed","PheCode480.2"
"m_X483","number of distinct months the feature was observed","PheCode483"
"m_X496","number of distinct months the feature was observed","PheCode496"
"m_X496.1","number of distinct months the feature was observed","PheCode496.1"
"m_X509","number of distinct months the feature was observed","PheCode509"
"m_X514","number of distinct months the feature was observed","PheCode514"
"m_X523.1","number of distinct months the feature was observed","PheCode523.1"
"m_X561.1","number of distinct months the feature was observed","PheCode561.1"
"m_X562.1","number of distinct months the feature was observed","PheCode562.1"
"m_X564.8","number of distinct months the feature was observed","PheCode564.8"
"m_X571","number of distinct months the feature was observed","PheCode571"
"m_X571.5","number of distinct months the feature was observed","PheCode571.5"
"m_X599","number of distinct months the feature was observed","PheCode599"
"m_X599.4","number of distinct months the feature was observed","PheCode599.4"
"m_X687","number of distinct months the feature was observed","PheCode687"
"m_X687.2","number of distinct months the feature was observed","PheCode687.2"
"m_X687.4","number of distinct months the feature was observed","PheCode687.4"
"m_X689","number of distinct months the feature was observed","PheCode689"
"m_X690","number of distinct months the feature was observed","PheCode690"
"m_X702.2","number of distinct months the feature was observed","PheCode702.2"
"m_X706","number of distinct months the feature was observed","PheCode706"
"m_X720","number of distinct months the feature was observed","PheCode720"
"m_X727","number of distinct months the feature was observed","PheCode727"
"m_X733","number of distinct months the feature was observed","PheCode733"
"m_X735","number of distinct months the feature was observed","PheCode735"
"m_X741","number of distinct months the feature was observed","PheCode741"
"m_X772.3","number of distinct months the feature was observed","PheCode772.3"
"m_X781","number of distinct months the feature was observed","PheCode781"
"m_X783","number of distinct months the feature was observed","PheCode783"
"m_X788","number of distinct months the feature was observed","PheCode788"
"m_X798.1","number of distinct months the feature was observed","PheCode798.1"
"m_X915","number of distinct months the feature was observed","PheCode915"
"m_X939","number of distinct months the feature was observed","PheCode939"
"m_X962.3","number of distinct months the feature was observed","PheCode962.3"
"n_X1002","count of new-onset features post-COVID-19 infection per patient","PheCode1002"
"n_X1010.1","count of new-onset features post-COVID-19 infection per patient","PheCode1010.1"
"n_X1010.2","count of new-onset features post-COVID-19 infection per patient","PheCode1010.2"
"n_X1100","count of new-onset features post-COVID-19 infection per patient","PheCode1100"
"n_X172.2","count of new-onset features post-COVID-19 infection per patient","PheCode172.2"
"n_X185","count of new-onset features post-COVID-19 infection per patient","PheCode185"
"n_X224","count of new-onset features post-COVID-19 infection per patient","PheCode224"
"n_X241.1","count of new-onset features post-COVID-19 infection per patient","PheCode241.1"
"n_X244","count of new-onset features post-COVID-19 infection per patient","PheCode244"
"n_X244.4","count of new-onset features post-COVID-19 infection per patient","PheCode244.4"
"n_X250","count of new-onset features post-COVID-19 infection per patient","PheCode250"
"n_X260","count of new-onset features post-COVID-19 infection per patient","PheCode260"
"n_X260.3","count of new-onset features post-COVID-19 infection per patient","PheCode260.3"
"n_X261.2","count of new-onset features post-COVID-19 infection per patient","PheCode261.2"
"n_X261.4","count of new-onset features post-COVID-19 infection per patient","PheCode261.4"
"n_X271.3","count of new-onset features post-COVID-19 infection per patient","PheCode271.3"
"n_X272","count of new-onset features post-COVID-19 infection per patient","PheCode272"
"n_X274","count of new-onset features post-COVID-19 infection per patient","PheCode274"
"n_X276.5","count of new-onset features post-COVID-19 infection per patient","PheCode276.5"
"n_X285","count of new-onset features post-COVID-19 infection per patient","PheCode285"
"n_X292.1","count of new-onset features post-COVID-19 infection per patient","PheCode292.1"
"n_X295","count of new-onset features post-COVID-19 infection per patient","PheCode295"
"n_X296.1","count of new-onset features post-COVID-19 infection per patient","PheCode296.1"
"n_X297","count of new-onset features post-COVID-19 infection per patient","PheCode297"
"n_X297.1","count of new-onset features post-COVID-19 infection per patient","PheCode297.1"
"n_X300","count of new-onset features post-COVID-19 infection per patient","PheCode300"
"n_X300.4","count of new-onset features post-COVID-19 infection per patient","PheCode300.4"
"n_X318","count of new-onset features post-COVID-19 infection per patient","PheCode318"
"n_X327.3","count of new-onset features post-COVID-19 infection per patient","PheCode327.3"
"n_X337.1","count of new-onset features post-COVID-19 infection per patient","PheCode337.1"
"n_X338.1","count of new-onset features post-COVID-19 infection per patient","PheCode338.1"
"n_X338.2","count of new-onset features post-COVID-19 infection per patient","PheCode338.2"
"n_X345.1","count of new-onset features post-COVID-19 infection per patient","PheCode345.1"
"n_X348.8","count of new-onset features post-COVID-19 infection per patient","PheCode348.8"
"n_X351","count of new-onset features post-COVID-19 infection per patient","PheCode351"
"n_X355.1","count of new-onset features post-COVID-19 infection per patient","PheCode355.1"
"n_X367.8","count of new-onset features post-COVID-19 infection per patient","PheCode367.8"
"n_X367.9","count of new-onset features post-COVID-19 infection per patient","PheCode367.9"
"n_X369","count of new-onset features post-COVID-19 infection per patient","PheCode369"
"n_X371","count of new-onset features post-COVID-19 infection per patient","PheCode371"
"n_X374","count of new-onset features post-COVID-19 infection per patient","PheCode374"
"n_X377","count of new-onset features post-COVID-19 infection per patient","PheCode377"
"n_X379","count of new-onset features post-COVID-19 infection per patient","PheCode379"
"n_X381.1","count of new-onset features post-COVID-19 infection per patient","PheCode381.1"
"n_X386.9","count of new-onset features post-COVID-19 infection per patient","PheCode386.9"
